Title,Date,Type,Country,Report No,PDF Link
Audited Financial Statement.pdf,2021-01-06T05:00:00Z,Auditing Document,Bangladesh,SCA0019543,http://documents.worldbank.org/curated/en/971441611819963126/pdf/Audited-Financial-Statement-pdf.pdf
Variable Renewable Energy Locational Study (Vol. 4 of 7) : Annex 3 - Shortlisting and Ranking of Sites,2021-02-01T05:00:00Z,Report,Pakistan,155871,http://documents.worldbank.org/curated/en/941901610742197710/pdf/Annex-3-Shortlisting-and-Ranking-of-Sites.pdf
"Disclosable Version of the ISR - Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - P170928 - Sequence No : 03",2021-10-15T04:00:00Z,Implementation Status and Results Report,West Bank and Gaza,ISR48120,http://documents.worldbank.org/curated/en/856901634303722244/pdf/Disclosable-Version-of-the-ISR-Advancing-Sustainability-in-Performance-Infrastructure-and-Reliability-of-the-Energy-Sector-in-the-West-Bank-and-Gaza-P170928-Sequence-No-03.pdf
"Ghana - Energy Sector Transformation Initiative Project : Improved Cookstoves, a Way to Care for One’s Family - Behavioral Diagnostics Note",2021-02-01T05:00:00Z,ESMAP Paper,World,156906,http://documents.worldbank.org/curated/en/957001614057884515/pdf/Ghana-Energy-Sector-Transformation-Initiative-Project-Improved-Cookstoves-a-Way-to-Care-for-One-s-Family-Behavioral-Diagnostics-Note.pdf
"West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P170928- Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - Procurement Plan",2021-11-22T05:00:00Z,Procurement Plan,West Bank and Gaza,STEP57239,http://documents.worldbank.org/curated/en/099018011222125609/pdf/West0Bank0and00a000Procurement0Plan.pdf
"West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P170928- Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - Procurement Plan",2021-12-15T05:00:00Z,Procurement Plan,West Bank and Gaza,STEP58331,http://documents.worldbank.org/curated/en/099140012152139643/pdf/West0Bank0and0000Procurement0Plan02.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-02-12T05:00:00Z,Procurement Plan,India,STEP44965,http://documents.worldbank.org/curated/en/278701613137749483/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
"West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P170928- Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - Procurement Plan",2021-05-31T04:00:00Z,Procurement Plan,West Bank and Gaza,STEP49787,http://documents.worldbank.org/curated/en/473521624597893820/pdf/West-Bank-and-Gaza-MIDDLE-EAST-AND-NORTH-AFRICA-P170928-Advancing-Sustainability-in-Performance-Infrastructure-and-Reliability-of-the-Energy-Sector-in-the-West-Bank-and-Gaza-Procurement-Plan.pdf
"West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P170928- Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - Procurement Plan",2021-11-24T05:00:00Z,Procurement Plan,West Bank and Gaza,STEP57388,http://documents.worldbank.org/curated/en/099033511242140576/pdf/West0Bank0and0000Procurement0Plan01.pdf
Official Documents- Agreement for Advance V3790,2021-07-22T04:00:00Z,Agreement,Guinea-Bissau,,http://documents.worldbank.org/curated/en/515171627303536789/pdf/Official-Documents-Agreement-for-Advance-V3790.pdf
"Concept Environmental and Social Review Summary (ESRS) - Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - P174708",2021-10-13T04:00:00Z,Environmental and Social Review Summary,West Bank and Gaza,ESRSC02354,http://documents.worldbank.org/curated/en/366331634164160505/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Advancing-Sustainability-in-Performance-Infrastructure-and-Reliability-of-the-Energy-Sector-in-the-West-Bank-and-Gaza-P174708.pdf
Uganda - AFRICA EAST - P146876 - UG GEF Energy for Rural Transformation III - Audited Financial Statement,2021-05-11T04:00:00Z,Auditing Document,Uganda,SCA0026904,http://documents.worldbank.org/curated/en/357711620763987139/pdf/Uganda-AFRICA-EAST-P146876-UG-GEF-Energy-for-Rural-Transformation-III-Audited-Financial-Statement.pdf
"West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P170928- Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza - Procurement Plan",2021-05-31T04:00:00Z,Procurement Plan,West Bank and Gaza,STEP49787,
Greener Living Starts with Cleaner Cooking : Behavioral Diagnostics Note - Rwanda Energy Access and Quality Improvement Project,2021-02-01T05:00:00Z,ESMAP Paper,World,156909,http://documents.worldbank.org/curated/en/794271614059409445/pdf/Greener-Living-Starts-with-Cleaner-Cooking-Behavioral-Diagnostics-Note-Rwanda-Energy-Access-and-Quality-Improvement-Project.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-01-18T05:00:00Z,Procurement Plan,India,STEP43707,http://documents.worldbank.org/curated/en/791181610973306753/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-02-08T05:00:00Z,Procurement Plan,India,STEP44681,http://documents.worldbank.org/curated/en/366141612758701742/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
West Bank and Gaza - MIDDLE EAST AND NORTH AFRICA- P148600- West Bank and Gaza Electricity Sector Performance Improvement Project - Procurement Plan,2021-11-16T05:00:00Z,Procurement Plan,West Bank and Gaza,STEP56994,http://documents.worldbank.org/curated/en/352421637063476574/pdf/West-Bank-and-Gaza-MIDDLE-EAST-AND-NORTH-AFRICA-P148600-West-Bank-and-Gaza-Electricity-Sector-Performance-Improvement-Project-Procurement-Plan.pdf
China - Urban Scale BEE and RE,2021-05-13T04:00:00Z,Implementation Completion Report Review,China,ICRR0022463,http://documents.worldbank.org/curated/en/343511620937537646/pdf/China-Urban-Scale-BEE-and-RE.pdf
Disclosable Version of the ISR - West Bank and Gaza Electricity Sector Performance Improvement Project - P148600 - Sequence No : 09,2021-12-26T05:00:00Z,Implementation Status and Results Report,West Bank and Gaza,ISR49153,http://documents.worldbank.org/curated/en/099220012262112864/pdf/Disclosable0Ve0600000Sequence0No009.pdf
Ukraine - EUROPE AND CENTRAL ASIA- P176114- Improving Power System Resilience for European Power Grid Integration - Procurement Plan,2021-11-18T05:00:00Z,Procurement Plan,Ukraine,STEP57131,http://documents.worldbank.org/curated/en/574851637250406563/pdf/Ukraine-EUROPE-AND-CENTRAL-ASIA-P176114-Improving-Power-System-Resilience-for-European-Power-Grid-Integration-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-08-09T04:00:00Z,Procurement Plan,Argentina,STEP52779,http://documents.worldbank.org/curated/en/465121628543639334/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Uganda - AFRICA EAST - P146876 - UG GEF Energy for Rural Transformation III - Audited Financial Statement,2021-05-11T04:00:00Z,Auditing Document,Uganda,SCA0026907,http://documents.worldbank.org/curated/en/958131620764060754/pdf/Uganda-AFRICA-EAST-P146876-UG-GEF-Energy-for-Rural-Transformation-III-Audited-Financial-Statement.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-02-10T05:00:00Z,Procurement Plan,India,STEP44836,http://documents.worldbank.org/curated/en/254441612959900172/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
"Minutes of a Virtual Meeting of the Executive Directors of the Bank 
on March 11, 2021 and Record of Approvals March 3 thru 11 : Minutes of a Virtual Meeting of the Executive Directors of the Bank on March 11, 2021 and Record of Approvals March 3 thru 11",2021-03-11T05:00:00Z,Minutes,"Haiti,West Bank and Gaza,Western and Central Africa,Togo,Comoros",157721,http://documents.worldbank.org/curated/en/769091617415507268/pdf/Minutes-of-a-Virtual-Meeting-of-the-Executive-Directors-of-the-Bank-on-March-11-2021-and-Record-of-Approvals-March-3-thru-11.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-10-29T04:00:00Z,Procurement Plan,Philippines,STEP56314,http://documents.worldbank.org/curated/en/974381635492627651/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-11-19T05:00:00Z,Procurement Plan,Philippines,STEP57145,http://documents.worldbank.org/curated/en/341931637285443247/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Pacific Islands - EAST ASIA AND PACIFIC - P098423 - Sustainable Energy Financing Program - Audited Financial Statement,2021-04-20T04:00:00Z,Auditing Document,Pacific Islands,SA00721329,http://documents.worldbank.org/curated/en/620571620085331964/pdf/Pacific-Islands-EAST-ASIA-AND-PACIFIC-P098423-Sustainable-Energy-Financing-Program-Audited-Financial-Statement.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-10-02T04:00:00Z,Procurement Plan,Argentina,STEP55098,http://documents.worldbank.org/curated/en/545901633138347040/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Concept Environmental and Social Review Summary (ESRS) - Indonesia Sustainable Least-cost Electrification-1 - P174350,2021-06-18T04:00:00Z,Environmental and Social Review Summary,Indonesia,ESRSC02037,http://documents.worldbank.org/curated/en/340291624040797212/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Indonesia-Sustainable-Least-cost-Electrification-1-P174350.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-06-29T04:00:00Z,Procurement Plan,Argentina,STEP51251,http://documents.worldbank.org/curated/en/456761624979616691/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-08-24T04:00:00Z,Procurement Plan,Argentina,STEP53350,http://documents.worldbank.org/curated/en/530411629810365001/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-11-18T05:00:00Z,Procurement Plan,Argentina,STEP57144,http://documents.worldbank.org/curated/en/422931637270318014/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-06-09T04:00:00Z,Procurement Plan,Argentina,STEP50260,http://documents.worldbank.org/curated/en/137411623206759721/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-08-26T04:00:00Z,Procurement Plan,Argentina,STEP53462,http://documents.worldbank.org/curated/en/721621629994425767/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Marshall Islands - EAST ASIA AND PACIFIC- P160910- Sustainable Energy Development Project - Procurement Plan,2021-02-25T05:00:00Z,Procurement Plan,Marshall Islands,STEP45640,http://documents.worldbank.org/curated/en/459971614267099799/pdf/Marshall-Islands-EAST-ASIA-AND-PACIFIC-P160910-Sustainable-Energy-Development-Project-Procurement-Plan.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-10-13T04:00:00Z,Procurement Plan,Argentina,STEP55613,http://documents.worldbank.org/curated/en/459941634130348941/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-08-13T04:00:00Z,Procurement Plan,Philippines,STEP52946,http://documents.worldbank.org/curated/en/677171628822062568/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Clean and Efficient Energy Project - P143689 - Sequence No : 11,2021-06-25T04:00:00Z,Implementation Status and Results Report,Morocco,ISR46736,http://documents.worldbank.org/curated/en/391121624634191932/pdf/Disclosable-Version-of-the-ISR-Clean-and-Efficient-Energy-Project-P143689-Sequence-No-11.pdf
Argentina - LATIN AMERICA AND CARIBBEAN- P133288- Argentina Renewable Energy for Rural Areas Project - Procurement Plan,2021-09-22T04:00:00Z,Procurement Plan,Argentina,STEP54686,http://documents.worldbank.org/curated/en/158181632348142686/pdf/Argentina-LATIN-AMERICA-AND-CARIBBEAN-P133288-Argentina-Renewable-Energy-for-Rural-Areas-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Enhancing Sierra Leone Energy Access - P171059 - Sequence No : 02,2021-11-08T05:00:00Z,Implementation Status and Results Report,Sierra Leone,ISR48853,http://documents.worldbank.org/curated/en/922481636339461912/pdf/Disclosable-Version-of-the-ISR-Enhancing-Sierra-Leone-Energy-Access-P171059-Sequence-No-02.pdf
Appraisal Environmental and Social Review Summary (ESRS) - Zanzibar Energy Sector Transformation and Access Project - P169561,2021-03-30T04:00:00Z,Environmental and Social Review Summary,Tanzania,ESRSA00680,http://documents.worldbank.org/curated/en/549901617128825895/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Zanzibar-Energy-Sector-Transformation-and-Access-Project-P169561.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-02-23T05:00:00Z,Procurement Plan,Philippines,STEP45482,http://documents.worldbank.org/curated/en/301411614089247521/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Disclosable Restructuring Paper - Access to Sustainable Energy Project - P153268,2021-09-29T04:00:00Z,Project Paper,Philippines,RES35460,http://documents.worldbank.org/curated/en/229701632935547651/pdf/Disclosable-Restructuring-Paper-Access-to-Sustainable-Energy-Project-P153268.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-01-06T05:00:00Z,Procurement Plan,Philippines,STEP43297,http://documents.worldbank.org/curated/en/883501609967444880/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Zanzibar Energy Sector Transformation and Access Project - P169561 - Sequence No : 01,2021-09-02T04:00:00Z,Implementation Status and Results Report,Tanzania,ISR48001,http://documents.worldbank.org/curated/en/437201630606763436/pdf/Disclosable-Version-of-the-ISR-Zanzibar-Energy-Sector-Transformation-and-Access-Project-P169561-Sequence-No-01.pdf
Concept Project Information Document (PID) - China Strategic Green and Low Carbon Investment Fund Project - P170839,2021-04-28T04:00:00Z,Project Information Document,China,PIDC28295,http://documents.worldbank.org/curated/en/115821619578430668/pdf/Concept-Project-Information-Document-PID-China-Strategic-Green-and-Low-Carbon-Investment-Fund-Project-P170839.pdf
Disclosable Version of the ISR - Accelerating Sustainable Private Investment in Renewable Energy Project - P145482 - Sequence No : 09,2021-07-31T04:00:00Z,Implementation Status and Results Report,Maldives,ISR46651,http://documents.worldbank.org/curated/en/398821627708046997/pdf/Disclosable-Version-of-the-ISR-Accelerating-Sustainable-Private-Investment-in-Renewable-Energy-Project-P145482-Sequence-No-09.pdf
Disclosable Version of the ISR - Second Energy Sector Project - P152343 - Sequence No : 08,2021-07-01T04:00:00Z,Implementation Status and Results Report,Mongolia,ISR47306,http://documents.worldbank.org/curated/en/572381625100180920/pdf/Disclosable-Version-of-the-ISR-Second-Energy-Sector-Project-P152343-Sequence-No-08.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-04-30T04:00:00Z,Procurement Plan,"Gambia, The",STEP48583,http://documents.worldbank.org/curated/en/868701619797837905/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-04-01T04:00:00Z,Procurement Plan,"Gambia, The",STEP47295,http://documents.worldbank.org/curated/en/105511617285440096/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
Nigeria - AFRICA WEST- P157891- Multi-Sectoral Crisis Recovery Project for North Eastern Nigeria - Procurement Plan,2021-03-04T05:00:00Z,Procurement Plan,Nigeria,STEP45971,http://documents.worldbank.org/curated/en/618141614866715625/pdf/Nigeria-AFRICA-WEST-P157891-Multi-Sectoral-Crisis-Recovery-Project-for-North-Eastern-Nigeria-Procurement-Plan.pdf
China - EAST ASIA AND PACIFIC- P127033- China Renewable Energy Scale-Up Program Phase II - Procurement Plan,2021-09-08T04:00:00Z,Procurement Plan,China,STEP53954,http://documents.worldbank.org/curated/en/354981631071488288/pdf/China-EAST-ASIA-AND-PACIFIC-P127033-China-Renewable-Energy-Scale-Up-Program-Phase-II-Procurement-Plan.pdf
Disclosable Version of the ISR - Accelerating Sustainable Private Investment in Renewable Energy Project - P145482 - Sequence No : 08,2021-04-21T04:00:00Z,Implementation Status and Results Report,Maldives,ISR45409,http://documents.worldbank.org/curated/en/977651618988554655/pdf/Disclosable-Version-of-the-ISR-Accelerating-Sustainable-Private-Investment-in-Renewable-Energy-Project-P145482-Sequence-No-08.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-03-19T04:00:00Z,Procurement Plan,"Gambia, The",STEP46682,http://documents.worldbank.org/curated/en/819311616155206480/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-03-30T04:00:00Z,Procurement Plan,"Gambia, The",STEP47144,http://documents.worldbank.org/curated/en/999411617099028855/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
Philippines - EAST ASIA AND PACIFIC- P153268- Access to Sustainable Energy Project - Procurement Plan,2021-01-07T05:00:00Z,Procurement Plan,Philippines,STEP43303,http://documents.worldbank.org/curated/en/424241609996297996/pdf/Philippines-EAST-ASIA-AND-PACIFIC-P153268-Access-to-Sustainable-Energy-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Mali Rural Electrification Hybrid System Project - P131084 - Sequence No : 15,2021-06-18T04:00:00Z,Implementation Status and Results Report,Mali,ISR47244,http://documents.worldbank.org/curated/en/381991624034975150/pdf/Disclosable-Version-of-the-ISR-Mali-Rural-Electrification-Hybrid-System-Project-P131084-Sequence-No-15.pdf
Mongolia - EAST ASIA AND PACIFIC- P152343- Second Energy Sector Project - Procurement Plan,2021-06-17T04:00:00Z,Procurement Plan,Mongolia,STEP50739,http://documents.worldbank.org/curated/en/924031623954830669/pdf/Mongolia-EAST-ASIA-AND-PACIFIC-P152343-Second-Energy-Sector-Project-Procurement-Plan.pdf
Official Documents- Second Restatement to Disbursement Letter for Grant No. TF0A2379,2021-09-30T04:00:00Z,Disbursement Letter,Philippines,,http://documents.worldbank.org/curated/en/321791644597545598/pdf/Official-Documents-Second-Restatement-to-Disbursement-Letter-for-Grant-No-TF0A2379.pdf
Nigeria - AFRICA WEST- P157891- Multi-Sectoral Crisis Recovery Project for North Eastern Nigeria - Procurement Plan,2021-05-10T04:00:00Z,Procurement Plan,Nigeria,STEP48949,http://documents.worldbank.org/curated/en/117431620658567257/pdf/Nigeria-AFRICA-WEST-P157891-Multi-Sectoral-Crisis-Recovery-Project-for-North-Eastern-Nigeria-Procurement-Plan.pdf
Nigeria - AFRICA WEST- P157891- Multi-Sectoral Crisis Recovery Project for North Eastern Nigeria - Procurement Plan,2021-11-03T04:00:00Z,Procurement Plan,Nigeria,STEP56558,http://documents.worldbank.org/curated/en/624951635982755182/pdf/Nigeria-AFRICA-WEST-P157891-Multi-Sectoral-Crisis-Recovery-Project-for-North-Eastern-Nigeria-Procurement-Plan.pdf
"Minutes of a Virtual Meeting of the Executive Directors of the Bank and IDA on March 2, 2021 and Records of Approval February 16 thru March 2",2021-03-02T05:00:00Z,Minutes,"Papua New Guinea,Afghanistan,Brazil,Ukraine,Lao People's Democratic Republic,Madagascar,Bangladesh,Sierra Leone,Mali,Angola,Niger,West Bank and Gaza,Jamaica,Argentina,China",157678,http://documents.worldbank.org/curated/en/921641617242518138/pdf/Minutes-of-a-Virtual-Meeting-of-the-Executive-Directors-of-the-Bank-and-IDA-on-March-2-2021-and-Records-of-Approval-February-16-thru-March-2.pdf
Mongolia - EAST ASIA AND PACIFIC- P152343- Second Energy Sector Project - Procurement Plan,2021-02-25T05:00:00Z,Procurement Plan,Mongolia,STEP45659,http://documents.worldbank.org/curated/en/874921614290598513/pdf/Mongolia-EAST-ASIA-AND-PACIFIC-P152343-Second-Energy-Sector-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - CAR Emergency Electricity Supply and Access Project - P164885 - Sequence No : 05,2021-06-01T04:00:00Z,Implementation Status and Results Report,Central Africa,ISR46513,http://documents.worldbank.org/curated/en/433971622522954087/pdf/Disclosable-Version-of-the-ISR-CAR-Emergency-Electricity-Supply-and-Access-Project-P164885-Sequence-No-05.pdf
Maldives - SOUTH ASIA- P172788- Accelerating Renewable Energy Integration and Sustainable Energy - Procurement Plan,2021-08-02T04:00:00Z,Procurement Plan,Maldives,STEP52491,http://documents.worldbank.org/curated/en/492941627914057069/pdf/Maldives-SOUTH-ASIA-P172788-Accelerating-Renewable-Energy-Integration-and-Sustainable-Energy-Procurement-Plan.pdf
,,,,,
Maldives - SOUTH ASIA- P172788- Accelerating Renewable Energy Integration and Sustainable Energy - Procurement Plan,2021-08-02T04:00:00Z,Procurement Plan,Maldives,STEP52491,http://documents.worldbank.org/curated/en/492941627914057069/pdf/Maldives-SOUTH-ASIA-P172788-Accelerating-Renewable-Energy-Integration-and-Sustainable-Energy-Procurement-Plan.pdf
Mongolia - EAST ASIA AND PACIFIC- P152343- Second Energy Sector Project - Procurement Plan,2021-01-12T05:00:00Z,Procurement Plan,Mongolia,STEP43505,http://documents.worldbank.org/curated/en/470831610494924857/pdf/Mongolia-EAST-ASIA-AND-PACIFIC-P152343-Second-Energy-Sector-Project-Procurement-Plan.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-01-15T05:00:00Z,Procurement Plan,India,STEP43649,http://documents.worldbank.org/curated/en/546101610724559868/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-01-14T05:00:00Z,Procurement Plan,"Gambia, The",STEP43602,http://documents.worldbank.org/curated/en/844861610634815312/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
"Micronesia, Federated States of - EAST ASIA AND PACIFIC- P165183- SUSTAINABLE ENERGY DEVELOPMENT AND ACCESS PROJECT - Procurement Plan",2021-07-14T04:00:00Z,Procurement Plan,"Micronesia, Federated States of",STEP51711,http://documents.worldbank.org/curated/en/238641626259854380/pdf/Micronesia-Federated-States-of-EAST-ASIA-AND-PACIFIC-P165183-SUSTAINABLE-ENERGY-DEVELOPMENT-AND-ACCESS-PROJECT-Procurement-Plan.pdf
Maldives - SOUTH ASIA- P172788- Accelerating Renewable Energy Integration and Sustainable Energy - Procurement Plan,2021-03-22T04:00:00Z,Procurement Plan,Maldives,STEP46740,http://documents.worldbank.org/curated/en/257161616409060162/pdf/Maldives-SOUTH-ASIA-P172788-Accelerating-Renewable-Energy-Integration-and-Sustainable-Energy-Procurement-Plan.pdf
Maldives - SOUTH ASIA- P172788- Accelerating Renewable Energy Integration and Sustainable Energy - Procurement Plan,2021-01-25T05:00:00Z,Procurement Plan,Maldives,STEP44040,http://documents.worldbank.org/curated/en/855051611556148627/pdf/Maldives-SOUTH-ASIA-P172788-Accelerating-Renewable-Energy-Integration-and-Sustainable-Energy-Procurement-Plan.pdf
Mongolia - EAST ASIA AND PACIFIC- P152343- Second Energy Sector Project - Procurement Plan,2021-03-25T04:00:00Z,Procurement Plan,Mongolia,STEP46949,http://documents.worldbank.org/curated/en/647101616671934126/pdf/Mongolia-EAST-ASIA-AND-PACIFIC-P152343-Second-Energy-Sector-Project-Procurement-Plan.pdf
Mongolia - EAST ASIA AND PACIFIC- P152343- Second Energy Sector Project - Procurement Plan,2021-02-19T05:00:00Z,Procurement Plan,Mongolia,STEP45284,http://documents.worldbank.org/curated/en/749351613693010515/pdf/Mongolia-EAST-ASIA-AND-PACIFIC-P152343-Second-Energy-Sector-Project-Procurement-Plan.pdf
India - SOUTH ASIA- P149340- Nagaland Health Project - Procurement Plan,2021-01-18T05:00:00Z,Procurement Plan,India,STEP43705,http://documents.worldbank.org/curated/en/687601610969000044/pdf/India-SOUTH-ASIA-P149340-Nagaland-Health-Project-Procurement-Plan.pdf
Environmental and Social Management Framework (ESMF) Accelerating Renewable Energy Integration and Sustainable Energy (P172788),2021-01-14T05:00:00Z,Environmental and Social Management Plan,Maldives,,http://documents.worldbank.org/curated/en/849321610623907610/pdf/Environmental-and-Social-Management-Framework-ESMF-Accelerating-Renewable-Energy-Integration-and-Sustainable-Energy-P172788.pdf
Disclosable Version of the ISR - CAR Emergency Electricity Supply and Access Project - P164885 - Sequence No : 05,2021-06-01T04:00:00Z,Implementation Status and Results Report,Central Africa,ISR46513,http://documents.worldbank.org/curated/en/433971622522954087/pdf/Disclosable-Version-of-the-ISR-CAR-Emergency-Electricity-Supply-and-Access-Project-P164885-Sequence-No-05.pdf
"Gambia, The - AFRICA WEST- P163568- Gambia Electricity Restoration and Modernization Project - Procurement Plan",2021-04-26T04:00:00Z,Procurement Plan,"Gambia, The",STEP48344,http://documents.worldbank.org/curated/en/516461619447450492/pdf/Gambia-The-AFRICA-WEST-P163568-Gambia-Electricity-Restoration-and-Modernization-Project-Procurement-Plan.pdf
Nigeria - AFRICA WEST- P157891- Multi-Sectoral Crisis Recovery Project for North Eastern Nigeria - Procurement Plan,2021-11-03T04:00:00Z,Procurement Plan,Nigeria,STEP56558,http://documents.worldbank.org/curated/en/624951635982755182/pdf/Nigeria-AFRICA-WEST-P157891-Multi-Sectoral-Crisis-Recovery-Project-for-North-Eastern-Nigeria-Procurement-Plan.pdf
