Title,Date,Type,Country,Report No,PDF Link
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-06-10T04:00:00Z,Procurement Plan,Rwanda,STEP50380,http://documents.worldbank.org/curated/en/658551623357067991/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Rural Electrification Project Stage II - P160658 - Sequence No : 07,2021-01-11T05:00:00Z,Implementation Status and Results Report,Vanuatu,ISR45156,http://documents.worldbank.org/curated/en/358291610344176252/pdf/Disclosable-Version-of-the-ISR-Rural-Electrification-Project-Stage-II-P160658-Sequence-No-07.pdf
Project Information Document - Niger Accelerating Electricity Access Project (Hask?) - P174034,2021-10-27T04:00:00Z,Project Information Document,Niger,PIDA31835,http://documents.worldbank.org/curated/en/828491635378863009/pdf/Project-Information-Document-Niger-Accelerating-Electricity-Access-Project-Hask-P174034.pdf
Additional Financing Environmental and Social Review Summary (ESRS) - Support for Resilient Livelihoods in the South of Madagascar AF - P177606,2021-09-25T04:00:00Z,Environmental and Social Review Summary,Madagascar,PIDA32637,http://documents.worldbank.org/curated/en/929481632568525536/pdf/Additional-Financing-Environmental-and-Social-Review-Summary-ESRS-Support-for-Resilient-Livelihoods-in-the-South-of-Madagascar-AF-P177606.pdf
Vanuatu - EAST ASIA AND PACIFIC- P160658- Rural Electrification Project Stage II - Procurement Plan,2021-11-04T04:00:00Z,Procurement Plan,Vanuatu,STEP56566,http://documents.worldbank.org/curated/en/678451636008914523/pdf/Vanuatu-EAST-ASIA-AND-PACIFIC-P160658-Rural-Electrification-Project-Stage-II-Procurement-Plan.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-06-26T04:00:00Z,Procurement Plan,Africa,STEP51111,http://documents.worldbank.org/curated/en/714851624724683454/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-07-21T04:00:00Z,Procurement Plan,Africa,STEP51978,http://documents.worldbank.org/curated/en/955541626909027451/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-06-23T04:00:00Z,Procurement Plan,Rwanda,STEP50988,http://documents.worldbank.org/curated/en/517081624463823356/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Concept Environmental and Social Review Summary (ESRS) - Niger Accelerating Electricity Access Project (Hask?) - P174034,2021-04-15T04:00:00Z,Environmental and Social Review Summary,Niger,ESRSC01961,http://documents.worldbank.org/curated/en/338501618483620312/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Niger-Accelerating-Electricity-Access-Project-Hask-P174034.pdf
Mali - AFRICA WEST - P131084 - Mali Rural Electrification Hybrid System Project - Audited Financial Statement,2021-06-30T04:00:00Z,Auditing Document,Mali,SCA0046607,http://documents.worldbank.org/curated/en/852911633046396044/pdf/Mali-AFRICA-WEST-P131084-Mali-Rural-Electrification-Hybrid-System-Project-Audited-Financial-Statement.pdf
,,,,,
Pakistan - SOUTH ASIA- P163461- Khyber Pakhtunkhwa Hydropower and Renewable Energy Development - Procurement Plan,2021-01-14T05:00:00Z,Procurement Plan,Pakistan,STEP43577,http://documents.worldbank.org/curated/en/708571610608168171/pdf/Pakistan-SOUTH-ASIA-P163461-Khyber-Pakhtunkhwa-Hydropower-and-Renewable-Energy-Development-Procurement-Plan.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-07-28T04:00:00Z,Procurement Plan,Africa,STEP52307,http://documents.worldbank.org/curated/en/855491627491848135/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Project Information Document - Niger Accelerating Electricity Access Project (Hask?) - P174034,2021-10-27T04:00:00Z,Project Information Document,Niger,PIDA31835,http://documents.worldbank.org/curated/en/828491635378863009/pdf/Project-Information-Document-Niger-Accelerating-Electricity-Access-Project-Hask-P174034.pdf
Environmental and Social Management Framework (ESMF) Zanzibar Energy Sector Transformation and Access Project (P169561),2021-03-04T05:00:00Z,Environmental and Social Management Plan,Tanzania,,http://documents.worldbank.org/curated/en/314391614870339828/pdf/Environmental-and-Social-Management-Framework-ESMF-Zanzibar-Energy-Sector-Transformation-and-Access-Project-P169561.pdf
Uganda - AFRICA EAST- P166685- Uganda Electricity Access Scale-up Project (EASP) - Procurement Plan,2021-12-10T05:00:00Z,Procurement Plan,Uganda,STEP58176,http://documents.worldbank.org/curated/en/099820012102139969/pdf/Uganda000AFRIC00000Procurement0Plan.pdf
Disclosable Version of the ISR - Regional Off-Grid Electricity Access Project - P160708 - Sequence No : 05,2021-11-25T05:00:00Z,Implementation Status and Results Report,Western Africa,ISR48964,http://documents.worldbank.org/curated/en/099517411252135628/pdf/Disclosable0Ve0708000Sequence0No005.pdf
Concept Environmental and Social Review Summary (ESRS) - CAR-Electricity Sector Strengthening and Access Project - P176683,2021-09-27T04:00:00Z,Environmental and Social Review Summary,Central African Republic,ESRSC02268,http://documents.worldbank.org/curated/en/908611632776667848/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-CAR-Electricity-Sector-Strengthening-and-Access-Project-P176683.pdf
Disclosable Version of the ISR - China Renewable Energy Scale-Up Program Phase II - P127033 - Sequence No : 15,2021-06-25T04:00:00Z,Implementation Status and Results Report,China,ISR47308,http://documents.worldbank.org/curated/en/119631624592230641/pdf/Disclosable-Version-of-the-ISR-China-Renewable-Energy-Scale-Up-Program-Phase-II-P127033-Sequence-No-15.pdf
Official Documents- Disbursement and Financial Information Letter for Loan 9298-CV,2021-12-13T05:00:00Z,Disbursement Letter,Cabo Verde,,http://documents.worldbank.org/curated/en/884361642514233592/pdf/Official-Documents-Disbursement-and-Financial-Information-Letter-for-Loan-9298-CV.pdf
Additional Financing Environmental and Social Review Summary (ESRS) - Support for Resilient Livelihoods in the South of Madagascar AF - P177606,2021-09-25T04:00:00Z,Environmental and Social Review Summary,Madagascar,PIDA32637,http://documents.worldbank.org/curated/en/929481632568525536/pdf/Additional-Financing-Environmental-and-Social-Review-Summary-ESRS-Support-for-Resilient-Livelihoods-in-the-South-of-Madagascar-AF-P177606.pdf
Vanuatu - EAST ASIA AND PACIFIC- P160658- Rural Electrification Project Stage II - Procurement Plan,2021-11-04T04:00:00Z,Procurement Plan,Vanuatu,STEP56566,http://documents.worldbank.org/curated/en/678451636008914523/pdf/Vanuatu-EAST-ASIA-AND-PACIFIC-P160658-Rural-Electrification-Project-Stage-II-Procurement-Plan.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-07-21T04:00:00Z,Procurement Plan,Africa,STEP51978,http://documents.worldbank.org/curated/en/955541626909027451/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Tanzania - AFRICA EAST- P169561- Zanzibar Energy Sector Transformation and Access Project - Procurement Plan,2021-11-25T05:00:00Z,Procurement Plan,Tanzania,STEP57464,http://documents.worldbank.org/curated/en/099651311252112790/pdf/Tanzania000AFR0t000Procurement0Plan.pdf
Tanzania - AFRICA EAST- P169561- Zanzibar Energy Sector Transformation and Access Project - Procurement Plan,2021-12-01T05:00:00Z,Procurement Plan,Tanzania,STEP57695,http://documents.worldbank.org/curated/en/099945112012114131/pdf/Tanzania000AFR000Procurement0Plan01.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-06-10T04:00:00Z,Procurement Plan,Africa,STEP50367,http://documents.worldbank.org/curated/en/105191623338060635/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Official Documents- Letter Agreement for Grant TF0B4793,2021-02-12T05:00:00Z,Agreement,Sierra Leone,,http://documents.worldbank.org/curated/en/742551614571781390/pdf/Official-Documents-Letter-Agreement-for-Grant-TF0B4793.pdf
Disclosable Version of the ISR - Energy Sector Development Project - P144573 - Sequence No : 12,2021-01-08T05:00:00Z,Implementation Status and Results Report,Tuvalu,ISR44792,http://documents.worldbank.org/curated/en/141271610080067754/pdf/Disclosable-Version-of-the-ISR-Energy-Sector-Development-Project-P144573-Sequence-No-12.pdf
Restructuring Integrated Safeguards Data Sheet - Electricity Service Access Project - P162760,2021-11-04T04:00:00Z,Integrated Safeguards Data Sheet,Zambia,ISDSR32353,http://documents.worldbank.org/curated/en/102761636034107814/pdf/Restructuring-Integrated-Safeguards-Data-Sheet-Electricity-Service-Access-Project-P162760.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-05-21T04:00:00Z,Procurement Plan,Rwanda,STEP49389,http://documents.worldbank.org/curated/en/466251624630059610/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - China Distributed Renewable Energy Scale-Up Project - P162299 - Sequence No : 05,2021-07-09T04:00:00Z,Implementation Status and Results Report,China,ISR46938,http://documents.worldbank.org/curated/en/146071625793290603/pdf/Disclosable-Version-of-the-ISR-China-Distributed-Renewable-Energy-Scale-Up-Project-P162299-Sequence-No-05.pdf
Disclosable Version of the ISR - China Distributed Renewable Energy Scale-Up Project - P162299 - Sequence No : 04,2021-02-28T05:00:00Z,Implementation Status and Results Report,China,ISR45500,http://documents.worldbank.org/curated/en/354181614487618339/pdf/Disclosable-Version-of-the-ISR-China-Distributed-Renewable-Energy-Scale-Up-Project-P162299-Sequence-No-04.pdf
Appraisal Environmental and Social Review Summary (ESRS) - Niger Accelerating Electricity Access Project (Hask?) - P174034,2021-10-26T04:00:00Z,Environmental and Social Review Summary,Niger,ESRSA01653,http://documents.worldbank.org/curated/en/389441635276010093/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Niger-Accelerating-Electricity-Access-Project-Hask-P174034.pdf
Disclosable Restructuring Paper - Liberia Electricity Sector Strengthening and Access Project (LESSAP) - P173416,2021-10-25T04:00:00Z,Project Paper,Liberia,RES48281,http://documents.worldbank.org/curated/en/855001635174577899/pdf/Disclosable-Restructuring-Paper-Liberia-Electricity-Sector-Strengthening-and-Access-Project-LESSAP-P173416.pdf
Tuvalu - EAST ASIA AND PACIFIC - P144573 - Energy Sector Development Project - Audited Financial Statement,2021-08-23T04:00:00Z,Auditing Document,Tuvalu,SCA0045594,http://documents.worldbank.org/curated/en/100261633651067535/pdf/Tuvalu-EAST-ASIA-AND-PACIFIC-P144573-Energy-Sector-Development-Project-Audited-Financial-Statement.pdf
Resettlement Framework Access to Distributed Electricity and Lighting in Ethiopia (P171742),2021-01-22T05:00:00Z,Environmental and Social Management Framework,Ethiopia,,http://documents.worldbank.org/curated/en/525651611322091743/pdf/Resettlement-Framework-Access-to-Distributed-Electricity-and-Lighting-in-Ethiopia-P171742.pdf
Stakeholder Engagement Plan (SEP) - Liberia Electricity Sector Strengthening and Access Project (LESSAP) - P173416,2021-03-08T05:00:00Z,Stakeholder Engagement Plan,Liberia,,http://documents.worldbank.org/curated/en/285461615237413273/pdf/Stakeholder-Engagement-Plan-SEP-Liberia-Electricity-Sector-Strengthening-and-Access-Project-LESSAP-P173416.pdf
Official Documents- Disbursement and Financial Information Letter for TF0B4303 and for TF0B4305,2021-03-02T05:00:00Z,Disbursement Letter,Maldives,,http://documents.worldbank.org/curated/en/193101614808752291/pdf/Official-Documents-Disbursement-and-Financial-Information-Letter-for-TF0B4303-and-for-TF0B4305.pdf
Labor Management Procedures Zanzibar Energy Sector Transformation and Access Project (P169561),2021-03-04T05:00:00Z,Procedure and Checklist,Tanzania,,http://documents.worldbank.org/curated/en/744011614870288139/pdf/Labor-Management-Procedures-Zanzibar-Energy-Sector-Transformation-and-Access-Project-P169561.pdf
Turkey - Seismic Resilience and Energy Efficiency in Public Buildings Project,2021-05-17T04:00:00Z,Project Appraisal Document,Turkiye,PAD4383,http://documents.worldbank.org/curated/en/738871623549676664/pdf/Turkey-Seismic-Resilience-and-Energy-Efficiency-in-Public-Buildings-Project.pdf
Western Africa - AFRICA WEST- P160708- Regional Off-Grid Electricity Access Project - Procurement Plan,2021-06-28T04:00:00Z,Procurement Plan,Africa,STEP51182,http://documents.worldbank.org/curated/en/376861624901082431/pdf/Western-Africa-AFRICA-WEST-P160708-Regional-Off-Grid-Electricity-Access-Project-Procurement-Plan.pdf
Appraisal Environmental and Social Review Summary (ESRS) - Somali Electricity Sector Recovery Project - P173088,2021-09-30T04:00:00Z,Environmental and Social Review Summary,Somalia,ESRSA01407,http://documents.worldbank.org/curated/en/989351633013906505/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Somali-Electricity-Sector-Recovery-Project-P173088.pdf
Stakeholder Engagement Plan (SEP) - Access to Distributed Electricity and Lighting in Ethiopia - P171742,2021-02-12T05:00:00Z,Stakeholder Engagement Plan,Ethiopia,,http://documents.worldbank.org/curated/en/443451613150825830/pdf/Stakeholder-Engagement-Plan-SEP-Access-to-Distributed-Electricity-and-Lighting-in-Ethiopia-P171742.pdf
Disclosable Version of the ISR - Rural Electrification Project Stage II - P160658 - Sequence No : 08,2021-08-18T04:00:00Z,Implementation Status and Results Report,Vanuatu,ISR47832,http://documents.worldbank.org/curated/en/301891629284935645/pdf/Disclosable-Version-of-the-ISR-Rural-Electrification-Project-Stage-II-P160658-Sequence-No-08.pdf
Ethiopia - AFRICA EAST- P171742- Access to Distributed Electricity and Lighting in Ethiopia (ADELE) - Procurement Plan,2021-12-24T05:00:00Z,Procurement Plan,Ethiopia,STEP58777,http://documents.worldbank.org/curated/en/099500012242196452/pdf/Ethiopia000AFR00000Procurement0Plan.pdf
Official Documents- Disbursement and Financial Information Letter for Additional Financing Grant No. D792-TJ,2021-06-25T04:00:00Z,Disbursement Letter,Tajikistan,,
Revised Stakeholder Engagement Plan (SEP) Liberia Electricity Sector Strengthening and Access Project (LESSAP) (P173416),2021-02-18T05:00:00Z,Stakeholder Engagement Plan,Liberia,,http://documents.worldbank.org/curated/en/843871613664190320/pdf/Revised-Stakeholder-Engagement-Plan-SEP-Liberia-Electricity-Sector-Strengthening-and-Access-Project-LESSAP-P173416.pdf
Coal Plant Repurposing for Ageing Coal Fleets in Developing Countries : Technical Report,2021-06-01T04:00:00Z,ESMAP Paper,World,163332,http://documents.worldbank.org/curated/en/144181629878602689/pdf/Coal-Plant-Repurposing-for-Ageing-Coal-Fleets-in-Developing-Countries-Technical-Report.pdf
Official Documents- Loan Agreement for Loan 9284-UA,2021-09-13T04:00:00Z,Loan Agreement,Ukraine,,http://documents.worldbank.org/curated/en/131871632248493441/pdf/Official-Documents-Loan-Agreement-for-Loan-9284-UA.pdf
